Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonEC2,RunInstances,CAN1-C3DataTransfer-In-Bytes,,05/01/22 23:00:00,05/02/22 00:00:00,39127
AmazonEC2,RunInstances,EUC1-DataTransfer-Out-Bytes,,05/01/22 19:00:00,05/01/22 20:00:00,169134
AmazonEC2,RunInstances,BoxUsage:t2.micro,,05/01/22 05:00:00,05/01/22 06:00:00,1
AmazonEC2,RunInstances,CAN1-DataTransfer-Out-Bytes,,05/01/22 04:00:00,05/01/22 05:00:00,11997269
AmazonEC2,RunInstances,C3DataTransfer-Out-Bytes,,05/01/22 00:00:00,05/01/22 01:00:00,2605
AmazonEC2,RunInstances:0002,EUC1-BoxUsage:t2.micro,,05/01/22 09:00:00,05/01/22 10:00:00,1
AmazonEC2,RunInstances,CAN1-DataTransfer-Out-Bytes,,05/01/22 08:00:00,05/01/22 09:00:00,10515171
AmazonEC2,EBS:Gp2-IO-Write,CAN1-EBS:VolumeIOUsage.gp2,,05/01/22 03:00:00,05/01/22 04:00:00,59859
AmazonEC2,RunInstances,CAN1-C3DataTransfer-In-Bytes,,05/01/22 08:00:00,05/01/22 09:00:00,84498
AmazonEC2,RunInstances,CAN1-DataTransfer-Out-Bytes,,05/01/22 23:00:00,05/02/22 00:00:00,2063988
AmazonEC2,EBS:Gp2-IO-Write,CAN1-EBS:VolumeIOUsage.gp2,,05/01/22 05:00:00,05/01/22 06:00:00,75279
AmazonEC2,CreateVolume-Gp2,EUW3-EBS:VolumeUsage.gp2,,05/01/22 12:00:00,05/01/22 13:00:00,483183820800
AmazonEC2,RunInstances:0002,EUW3-BoxUsage:t2.micro,,05/01/22 11:00:00,05/01/22 12:00:00,15
AmazonEC2,RunInstances,EUC1-C3DataTransfer-In-Bytes,,05/01/22 13:00:00,05/01/22 14:00:00,1633
AmazonEC2,PublicIP-Out,EUC1-APS3-AWS-Out-Bytes,,05/01/22 00:00:00,05/01/22 01:00:00,3810
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,05/01/22 04:00:00,05/01/22 05:00:00,8589934592
AmazonEC2,RunInstances:0002,EUC1-BoxUsage:t2.micro,,05/01/22 02:00:00,05/01/22 03:00:00,1
AmazonEC2,PublicIP-In,EUC1-APS3-AWS-In-Bytes,,05/01/22 04:00:00,05/01/22 05:00:00,4724
AmazonEC2,EBS:Gp2-IO-Read,CAN1-EBS:VolumeIOUsage.gp2,,05/01/22 03:00:00,05/01/22 04:00:00,1971
AmazonEC2,EBS:Gp2-IO-Read,EUW3-EBS:VolumeIOUsage.gp2,,05/01/22 13:00:00,05/01/22 14:00:00,400228
AmazonEC2,EBS:Gp2-IO-Write,EUW3-EBS:VolumeIOUsage.gp2,,05/01/22 10:00:00,05/01/22 11:00:00,85845
AmazonEC2,RunInstances,EUW3-DataTransfer-In-Bytes,,05/01/22 22:00:00,05/01/22 23:00:00,42572961
AmazonEC2,EBS:Gp2-IO-Write,EUC1-EBS:VolumeIOUsage.gp2,,05/01/22 15:00:00,05/01/22 16:00:00,3305
AmazonEC2,EBS:Gp2-IO-Read,CAN1-EBS:VolumeIOUsage.gp2,,05/01/22 05:00:00,05/01/22 06:00:00,48463
AmazonEC2,PublicIP-Out,EUC1-APS3-AWS-Out-Bytes,,05/01/22 01:00:00,05/01/22 02:00:00,5715
AmazonEC2,RunInstances,CAN1-C3DataTransfer-In-Bytes,,05/01/22 15:00:00,05/01/22 16:00:00,47702
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,05/01/22 23:00:00,05/02/22 00:00:00,8589934592
AmazonEC2,RunInstances:0002,EUW3-BoxUsage:t2.micro,,05/01/22 07:00:00,05/01/22 08:00:00,15
AmazonEC2,PublicIP-In,EUC1-APS3-AWS-In-Bytes,,05/01/22 12:00:00,05/01/22 13:00:00,4844
AmazonEC2,RunInstances,EUW3-C3DataTransfer-Out-Bytes,,05/01/22 12:00:00,05/01/22 13:00:00,31562
AmazonEC2,CreateVolume-Gp2,EBS:VolumeUsage.gp2,,05/01/22 08:00:00,05/01/22 09:00:00,8589934592
AmazonEC2,CreateVolume-Gp2,CAN1-EBS:VolumeUsage.gp2,,05/01/22 22:00:00,05/01/22 23:00:00,483183820800
AmazonEC2,RunInstances,EUW3-DataTransfer-In-Bytes,,05/01/22 14:00:00,05/01/22 15:00:00,16908051
AmazonEC2,CreateVolume-Gp2,CAN1-EBS:VolumeUsage.gp2,,05/01/22 18:00:00,05/01/22 19:00:00,483183820800
AmazonEC2,EBS:Gp2-IO-Write,CAN1-EBS:VolumeIOUsage.gp2,,05/01/22 16:00:00,05/01/22 17:00:00,52563
AmazonEC2,RunInstances,EUW3-C3DataTransfer-In-Bytes,,05/01/22 09:00:00,05/01/22 10:00:00,36634
AmazonEC2,RunInstances,EUC1-C3DataTransfer-In-Bytes,,05/01/22 10:00:00,05/01/22 11:00:00,5589
AmazonEC2,RunInstances:0002,CAN1-BoxUsage:t2.micro,,05/01/22 06:00:00,05/01/22 07:00:00,15
AmazonEC2,RunInstances,CAN1-C3DataTransfer-In-Bytes,,05/01/22 04:00:00,05/01/22 05:00:00,37895
AmazonEC2,RunInstances,EUC1-DataTransfer-In-Bytes,,05/01/22 06:00:00,05/01/22 07:00:00,276755
AmazonEC2,RunInstances:0002,EUW3-BoxUsage:t2.micro,,05/01/22 01:00:00,05/01/22 02:00:00,15
AmazonEC2,CreateVolume-Gp2,CAN1-EBS:VolumeUsage.gp2,,05/01/22 14:00:00,05/01/22 15:00:00,483183820800
AmazonEC2,PublicIP-In,CAN1-USE1-AWS-In-Bytes,,05/01/22 03:00:00,05/01/22 04:00:00,3336
AmazonEC2,RunInstances,EUW3-DataTransfer-In-Bytes,,05/01/22 18:00:00,05/01/22 19:00:00,39653370
AmazonEC2,PublicIP-Out,EUC1-APS3-AWS-Out-Bytes,,05/01/22 07:00:00,05/01/22 08:00:00,34936
AmazonEC2,RunInstances,BoxUsage:t2.micro,,05/01/22 03:00:00,05/01/22 04:00:00,1
AmazonEC2,RunInstances,DataTransfer-In-Bytes,,05/01/22 19:00:00,05/01/22 20:00:00,88883
AmazonEC2,RunInstances,EUW3-C3DataTransfer-In-Bytes,,05/01/22 02:00:00,05/01/22 03:00:00,36144
AmazonEC2,RunInstances:0002,EUW3-BoxUsage:t2.micro,,05/01/22 14:00:00,05/01/22 15:00:00,15
AmazonEC2,EBS:Gp2-IO-Read,EUC1-EBS:VolumeIOUsage.gp2,,05/01/22 08:00:00,05/01/22 09:00:00,7
AmazonEC2,RunInstances,EUW3-DataTransfer-In-Bytes,,05/01/22 09:00:00,05/01/22 10:00:00,10869514
AmazonEC2,CreateVolume-Gp2,EUW3-EBS:VolumeUsage.gp2,,05/01/22 04:00:00,05/01/22 05:00:00,483183820800
AmazonEC2,EBS:Gp2-IO-Read,EUC1-EBS:VolumeIOUsage.gp2,,05/01/22 04:00:00,05/01/22 05:00:00,15
AmazonEC2,CreateVolume-Gp2,EUW3-EBS:VolumeUsage.gp2,,05/01/22 09:00:00,05/01/22 10:00:00,483183820800
AmazonEC2,CreateVolume-Gp2,EUC1-EBS:VolumeUsage.gp2,,05/01/22 13:00:00,05/01/22 14:00:00,32212254720
AmazonEC2,RunInstances,EUC1-DataTransfer-In-Bytes,,05/01/22 19:00:00,05/01/22 20:00:00,140938
AmazonEC2,RunInstances,EUW3-C3DataTransfer-In-Bytes,,05/01/22 12:00:00,05/01/22 13:00:00,63090
AmazonEC2,CreateVolume-Gp2,EUW3-EBS:VolumeUsage.gp2,,05/01/22 02:00:00,05/01/22 03:00:00,483183820800
AmazonEC2,RunInstances,C3DataTransfer-Out-Bytes,,05/01/22 07:00:00,05/01/22 08:00:00,1817
AmazonEC2,EBS:Gp2-IO-Write,EUW3-EBS:VolumeIOUsage.gp2,,05/01/22 19:00:00,05/01/22 20:00:00,59539
AmazonEC2,RunInstances,EUW3-DataTransfer-Out-Bytes,,05/01/22 15:00:00,05/01/22 16:00:00,32178709
AmazonEC2,RunInstances,CAN1-C3DataTransfer-Out-Bytes,,05/01/22 13:00:00,05/01/22 14:00:00,23986
AmazonEC2,RunInstances,C3DataTransfer-In-Bytes,,05/01/22 21:00:00,05/01/22 22:00:00,6895
AmazonEC2,RunInstances,CAN1-C3DataTransfer-Out-Bytes,,05/01/22 17:00:00,05/01/22 18:00:00,24655
AmazonEC2,RunInstances,C3DataTransfer-In-Bytes,,05/01/22 00:00:00,05/01/22 01:00:00,4344
AmazonEC2,RunInstances,EUW3-DataTransfer-In-Bytes,,05/01/22 01:00:00,05/01/22 02:00:00,66421168
AmazonEC2,RunInstances:0002,EUW3-BoxUsage:t2.micro,,05/01/22 18:00:00,05/01/22 19:00:00,15
AmazonEC2,PublicIP-Out,CAN1-APS3-AWS-Out-Bytes,,05/01/22 12:00:00,05/01/22 13:00:00,44
AmazonEC2,RunInstances,CAN1-DataTransfer-In-Bytes,,05/01/22 19:00:00,05/01/22 20:00:00,2797926
AmazonEC2,EBS:Gp2-IO-Write,EBS:VolumeIOUsage.gp2,,05/01/22 15:00:00,05/01/22 16:00:00,1725
AmazonEC2,CreateVolume-Gp2,EUC1-EBS:VolumeUsage.gp2,,05/01/22 17:00:00,05/01/22 18:00:00,32212254720
AmazonEC2,EBS:Gp2-IO-Read,CAN1-EBS:VolumeIOUsage.gp2,,05/01/22 20:00:00,05/01/22 21:00:00,3819
AmazonEC2,RunInstances,CAN1-DataTransfer-Out-Bytes,,05/01/22 12:00:00,05/01/22 13:00:00,29509912
AmazonEC2,RunInstances,EUW3-C3DataTransfer-Out-Bytes,,05/01/22 23:00:00,05/02/22 00:00:00,10934
AmazonEC2,RunInstances,C3DataTransfer-Out-Bytes,,05/01/22 21:00:00,05/01/22 22:00:00,4046
